5.50012	-3.05621	
5.50037	-3.03593	
5.50063	-3.01564	
5.50089	-3.04945	
5.50115	-3.0472	
5.50141	-3.04494	
5.50167	-3.04607	
5.50193	-3.0472	
5.50219	-3.04832	
5.50245	-3.04945	
5.50271	-3.05642	
5.50296	-3.0634	
5.50322	-3.07037	
5.50348	-3.07734	
5.50374	-3.08432	
5.504	-3.09129	
5.50426	-3.09827	
5.50452	-3.10524	
5.50478	-3.09305	
5.50504	-3.08087	
5.5053	-3.06868	
5.50556	-3.05649	
5.50581	-3.07136	
5.50607	-3.08622	
5.50633	-3.10108	
5.50659	-3.11595	
5.50685	-3.13514	
5.50711	-3.15434	
5.50737	-3.17353	
5.50763	-3.19273	
5.50789	-3.14881	
5.50815	-3.10489	
5.5084	-3.06097	
5.50866	-3.01705	
5.50892	-3.03737	
5.50918	-3.05769	
5.50944	-3.07801	
5.5097	-3.09834	
5.50996	-3.07921	
5.51022	-3.06009	
5.51048	-3.09281	
5.51074	-3.21569	
5.51099	-3.37922	
5.51125	-3.45258	
5.51151	-3.40197	
5.51177	-3.35136	
5.51203	-3.3402	
5.51229	-3.32903	
5.51255	-3.31787	
5.51281	-3.3067	
5.51307	-3.37049	
5.51333	-3.43427	
5.51359	-3.49805	
5.51384	-3.56184	
5.5141	-3.54447	
5.51436	-3.52711	
5.51462	-3.50975	
5.51488	-3.49238	
5.51514	-3.43283	
5.5154	-3.37327	
5.51566	-3.31371	
5.51592	-3.25415	
5.51618	-3.19459	
5.51643	-3.13504	
5.51669	-3.07548	
5.51695	-3.01592	
5.51721	-3.05047	
5.51747	-3.08502	
5.51773	-3.11957	
5.51799	-3.15413	
5.51825	-3.14359	
5.51851	-3.13306	
5.51877	-3.12253	
5.51903	-3.112	
5.51928	-3.14937	
5.51954	-3.18674	
5.5198	-3.22411	
5.52006	-3.26148	
5.52032	-3.2718	
5.52058	-3.28212	
5.52084	-3.29244	
5.5211	-3.30276	
5.52136	-3.24996	
5.52162	-3.19717	
5.52187	-3.14437	
5.52213	-3.09157	
5.52239	-3.11993	
5.52265	-3.14828	
5.52291	-3.17663	
