Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-21_00;12;30_TP36_01.vdt
Sample ID	TP36
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 21, 2022 - 00:12:30
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI
0.00000	13.199	 3.052	74.618	47.533	25.254	35.36790	
0.00333	13.047	 2.976	74.541	47.609	24.949	35.19395	
0.00667	12.894	 2.976	74.618	47.456	24.796	34.98947	
0.01000	12.741	 3.052	74.618	47.533	24.720	34.84298	
0.01333	12.909	 3.006	74.587	47.517	24.903	35.02426	
0.01667	12.787	 3.006	74.557	47.517	24.842	34.88327	
0.02000	12.726	 3.006	74.557	47.502	24.857	34.77523	
0.02333	12.696	 3.021	74.511	47.487	24.934	34.71053	
0.02667	12.696	 3.006	74.496	47.472	25.056	34.67696	
0.03000	12.711	 2.991	74.480	47.472	25.178	34.66475	
0.03333	12.757	 2.976	74.511	47.487	25.285	34.66903	
0.03667	12.741	 2.976	74.526	47.487	25.376	34.68489	
0.04000	12.741	 2.945	74.557	47.502	25.468	34.70504	
0.04333	12.726	 2.945	74.557	47.502	25.513	34.72457	
0.04667	12.757	 2.960	74.541	47.502	25.575	34.74654	
0.05000	12.757	 2.960	74.526	47.472	25.636	34.77096	
0.05333	12.803	 2.960	74.511	47.472	25.697	34.79354	
0.05667	12.833	 2.976	74.511	47.487	25.773	34.81185	
0.06000	12.864	 2.976	74.480	47.502	25.819	34.82650	
0.06333	12.833	 2.976	74.526	47.502	25.819	34.84054	
0.06667	12.864	 2.976	74.511	47.502	25.834	34.85336	
0.07000	12.848	 2.976	74.511	47.502	25.834	34.86374	
0.07333	12.848	 2.976	74.480	47.502	25.834	34.87411	
0.07667	12.864	 2.976	74.511	47.487	25.849	34.88510	
0.08000	12.894	 2.976	74.496	47.487	25.880	34.89914	
0.08333	12.894	 2.976	74.511	47.487	25.864	34.91623	
0.08667	12.925	 2.976	74.496	47.502	25.895	34.93270	
0.09000	12.940	 2.960	74.541	47.487	25.864	34.94735	
0.09333	12.940	 2.960	74.526	47.502	25.864	34.96322	
0.09667	12.955	 2.976	74.511	47.502	25.849	34.98215	
0.10000	12.955	 2.976	74.511	47.517	25.880	34.99985	
0.10333	12.925	 2.976	74.526	47.472	25.834	35.01511	
0.10667	12.894	 2.991	74.496	47.487	25.819	35.02792	
0.11000	12.925	 2.976	74.480	47.472	25.803	35.04135	
0.11333	12.909	 2.945	74.496	47.456	25.773	35.05295	
